lic bed size,DAY_TOT,adj pat days,DIS_TOT,DSH hosp,FAC_NO,FAC_NAME
100-149,24258.0,45298.4650908321,2144.0,Non-DSH,106350784.0,HAZEL HAWKINS MEMORIAL HOSPITAL
150-199,39999.0,53271.620405378104,2975.0,DSH,106362041.0,HI-DESERT MEDICAL CENTER
1-49,8516.0,13947.94476066738,258.0,Non-DSH,106320874.0,INDIAN VALLEY HOSPITAL
50-99,15448.0,21491.65986838162,5629.0,Non-DSH,106334001.0,INLAND VALLEY REGIONAL MEDICAL CENTER
1-49,7230.0,17996.5560977387,457.0,DSH,106220733.0,JOHN C FREMONT HEALTHCARE DISTRICT
100-149,28766.0,41826.71884309732,1191.0,DSH,106150737.0,KERN VALLEY HOSPITAL
1-49,5891.0,13433.941162347486,119.0,DSH,106100745.0,KINGSBURG MEDICAL HOSPITAL
50-99,11733.0,24515.61145724772,1168.0,Non-DSH,106180919.0,LASSEN COMMUNITY HOSPITAL
100-149,17886.0,25263.2807354476,2928.0,DSH,106540746.0,LINDSAY DISTRICT HOSPITAL
150-199,48233.0,89112.32994037695,2812.0,Non-DSH,106420491.0,LOMPOC DISTRICT HOSPITAL
1-49,6123.0,10386.098265818355,1721.0,Non-DSH,106240924.0,LOS BANOS COMMUNITY HOSPITAL
1-49,810.0,2204.542780561867,369.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
1-49,5206.0,9959.086787536138,1321.0,Non-DSH,106050932.0,MARK TWAIN ST. JOSEPH'S HOSPITAL
100-149,21954.0,39369.62172896946,4430.0,Non-DSH,106090933.0,MARSHALL HOSPITAL
100-149,36752.0,53652.52205642636,1448.0,DSH,106450936.0,MAYERS MEMORIAL HOSPITAL
50-99,22915.0,28538.403980844017,354.0,DSH,106540755.0,MEMORIAL HOSPITAL AT EXETER
50-99,8177.0,17678.59963973008,1775.0,Non-DSH,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL
50-99,19130.0,30870.598165057683,1719.0,Non-DSH,106470871.0,MERCY HOSPITAL OF MT. SHASTA
50-99,18631.0,35587.99360580171,347.0,DSH,106250956.0,MODOC MEDICAL CENTER
1-49,8083.0,16110.763001832443,969.0,DSH,106361266.0,MOUNTAINS COMMUNITY HOSPITAL
50-99,5086.0,7534.88185788993,1783.0,Non-DSH,106361458.0,NEEDLES-DESERT COMMUNITIES HOSPITAL
1-49,2060.0,2411.376055271859,361.0,Non-DSH,106190559.0,NEWHALL COMMUNITY HOSPITAL
1-49,3977.0,7341.498037277282,1371.0,Non-DSH,106141273.0,NORTHERN INYO HOSPITAL
100-149,44005.0,76323.23273503478,2302.0,DSH,106500967.0,OAK VALLEY DISTRICT HOSPITAL
100-149,27545.0,45499.78395315366,1657.0,Non-DSH,106560501.0,OJAI VALLEY COMMUNITY HOSPITAL
50-99,7918.0,13901.69917482816,1777.0,Non-DSH,106491338.0,PALM DRIVE HOSPITAL
50-99,5232.0,10846.478985934586,1917.0,Non-DSH,106331288.0,PALO VERDE HOSPITAL
50-99,14071.0,23056.3469125435,3750.0,DSH,106130760.0,PIONEERS MEMORIAL HOSPITAL
1-49,2121.0,4864.6028431831355,687.0,Non-DSH,106320986.0,PLUMAS DISTRICT HOSPITAL
1-49,5527.0,12171.488623881069,1471.0,Non-DSH,106171049.0,REDBUD COMMUNITY HOSPITAL
1-49,7802.0,14192.080632770962,1944.0,Non-DSH,106121051.0,REDWOOD MEMORIAL HOSPITAL
50-99,8332.0,14626.118843621045,2339.0,Non-DSH,106150782.0,RIDGECREST COMMUNITY HOSPITAL
50-99,9480.0,13732.59617099731,2721.0,Non-DSH,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL
1-49,4244.0,5972.697786682372,991.0,DSH,106100791.0,SANGER GENERAL HOSPITAL
1-49,1379.0,4273.097297695035,402.0,Non-DSH,106420522.0,SANTA YNEZ VALLEY COTTAGE HOSPITAL
50-99,7732.0,18750.051492545583,2203.0,Non-DSH,106100793.0,SELMA DISTRICT HOSPITAL
1-49,6935.0,15316.203633625524,399.0,DSH,106321016.0,SENECA HOSPITAL
100-149,40830.0,48660.08236386747,177.0,Non-DSH,106410828.0,SETON MEDICAL CENTER - COASTSIDE
1-49,5323.0,11882.203215335034,1629.0,Non-DSH,106100797.0,SIERRA KINGS DISTRICT HOSPITAL
100-149,23765.0,37071.169545652694,6002.0,Non-DSH,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL
1-49,11608.0,15457.41672601705,111.0,DSH,106461024.0,SIERRA VALLEY DISTRICT HOSPITAL
50-99,2374.0,5599.590222815774,759.0,Non-DSH,106471031.0,SISKIYOU GENERAL HOSPITAL
100-149,34291.0,70453.98409646768,3623.0,Non-DSH,106551034.0,SONORA COMMUNITY HOSPITAL
1-49,4149.0,8990.728292431513,345.0,DSH,106121031.0,SOUTHERN HUMBOLDT COMMUNITY HOSPITAL
1-49,11836.0,23087.6789733843,141.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
50-99,12994.0,21587.063725945794,3260.0,Non-DSH,106521041.0,ST. ELIZABETH COMMUNITY HOSPITAL
150-199,34112.0,43627.92070032763,7825.0,Non-DSH,106361343.0,ST. MARY REGIONAL MEDICAL CENTER
1-49,7870.0,10630.968586173765,125.0,Non-DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,17991.0,29367.4868865475,2695.0,Non-DSH,106030786.0,SUTTER AMADOR HOSPITAL
1-49,11522.0,20654.872960682504,2584.0,Non-DSH,106084001.0,SUTTER COAST HOSPITAL
50-99,11554.0,21645.869268662536,2665.0,Non-DSH,106171395.0,SUTTER LAKESIDE HOSPITAL
50-99,18778.0,35433.8046540757,2102.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
1-49,6282.0,31026.06283536094,120.0,Non-DSH,106150808.0,TEHACHAPI HOSPITAL
50-99,11156.0,16951.570185314198,1191.0,DSH,106531059.0,TRINITY GENERAL HOSPITAL
50-99,20887.0,37098.108812980274,1847.0,DSH,106551061.0,TUOLUMNE GENERAL HOSPITAL
50-99,16547.0,23476.039751519067,4221.0,Non-DSH,106400548.0,TWIN CITIES COMMUNITY HOSPITAL
100-149,18507.0,32761.321920863382,3894.0,Non-DSH,106231396.0,UKIAH VALLEY MEDICAL CENTER-HOSPITAL DR
100-149,31639.0,46519.87859570908,8237.0,Non-DSH,106361370.0,VICTOR VALLEY COMMUNITY HOSPITAL
50-99,23494.0,36371.983747246704,407.0,DSH,106150830.0,WEST SIDE DIST HOSP & NURSING HOME
1-49,2960.0,6141.735240473499,59.0,Non-DSH,106190045.0,AVALON MUNICIPAL HOSPITAL & CLINIC
50-99,8775.0,14927.328684820643,2603.0,Non-DSH,106361105.0,BARSTOW COMMUNITY HOSPITAL
100-149,28842.0,52139.83179505655,4167.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
1-49,7677.0,23379.503713983326,394.0,Non-DSH,106361110.0,BEAR VALLEY COMMUNITY HOSPITAL
1-49,1971.0,4509.311977826147,438.0,Non-DSH,106040802.0,BIGGS-GRIDLEY MEMORIAL HOSPITAL
1-49,7736.0,15103.849425325085,67.0,DSH,106200692.0,CHOWCHILLA DISTRICT MEMORIAL HOSPITAL
50-99,16223.0,27354.43889090486,533.0,DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
50-99,9862.0,15271.518587232425,2088.0,Non-DSH,106361458.0,COLORADO RIVER MEDICAL CENTER
1-49,4315.0,9177.81342287599,976.0,Non-DSH,106060870.0,COLUSA COMMUNITY HOSPITAL
1-49,4008.0,6473.799346699214,1004.0,DSH,106160702.0,CORCORAN DISTRICT HOSPITAL
1-49,9587.0,19949.733719323598,36.0,Non-DSH,106240853.0,DOS PALOS MEMORIAL HOSPITAL
1-49,6795.0,16865.624803228144,484.0,Non-DSH,106320859.0,EASTERN PLUMAS HEALTH CARE
1-49,5235.0,12760.15499641646,1779.0,Non-DSH,106474007.0,FAIRCHILD MEDICAL CENTER
100-149,34958.0,60322.53295551892,2436.0,Non-DSH,106370705.0,FALLBROOK HOSPITAL DISTRICT
1-49,3330.0,6929.701834317091,850.0,Non-DSH,106230949.0,FRANK R HOWARD MEMORIAL HOSPITAL
1-49,10758.0,28047.126305979542,1720.0,Non-DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
1-49,613.0,3090.246110892324,249.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
50-99,16071.0,34585.0767836782,3954.0,Non-DSH,106160725.0,HANFORD COMMUNITY HOSPITAL
100-149,25338.0,49582.356768859594,2511.0,Non-DSH,106350784.0,HAZEL HAWKINS MEMORIAL HOSPITAL
1-49,3474.0,9529.924363027743,827.0,Non-DSH,106490964.0,HEALDSBURG GENERAL HOSPITAL
150-199,50084.0,73290.01115358189,2766.0,DSH,106362041.0,HI-DESERT MEDICAL CENTER
1-49,8319.0,14015.56234688878,211.0,Non-DSH,106320874.0,INDIAN VALLEY HOSPITAL
1-49,3359.0,8191.974104967162,199.0,DSH,106121031.0,JEROLD PHELPS COMMUNITY HOSPITAL
1-49,10236.0,28967.918275701853,314.0,DSH,106220733.0,JOHN C FREMONT HEALTHCARE DISTRICT
100-149,30300.0,44324.19929051502,1333.0,DSH,106150737.0,KERN VALLEY HEALTHCARE DISTRICT
1-49,7707.0,14578.727640032066,616.0,DSH,106100745.0,KINGSBURG MEDICAL HOSPITAL
50-99,10891.0,25932.279243964535,1271.0,Non-DSH,106180919.0,LASSEN COMMUNITY HOSPITAL
150-199,45355.0,96257.52450685979,2655.0,Non-DSH,106420491.0,LOMPOC HEALTHCARE DISTRICT
1-49,1262.0,3179.612150031896,536.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
50-99,7128.0,13954.074648763039,1821.0,Non-DSH,106050932.0,MARK TWAIN ST. JOSEPH'S HOSPITAL
100-149,22816.0,45079.85643766443,5625.0,Non-DSH,106090933.0,MARSHALL HOSPITAL
100-149,29124.0,50512.774589920606,758.0,DSH,106450936.0,MAYERS MEMORIAL HOSPITAL
50-99,19797.0,25959.69605844447,77.0,Non-DSH,106540755.0,MEMORIAL HOSPITAL AT EXETER
1-49,7060.0,12591.557179369713,1962.0,Non-DSH,106240924.0,MEMORIAL HOSPITAL LOS BANOS
50-99,8227.0,18116.50165236449,1925.0,Non-DSH,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL
50-99,19197.0,34609.86858712754,1656.0,Non-DSH,106470871.0,MERCY HOSPITAL OF MT. SHASTA
50-99,22727.0,39345.64170464869,320.0,DSH,106150830.0,MERCY WESTSIDE HOSPITAL
50-99,19669.0,37606.8212499155,248.0,DSH,106250956.0,MODOC MEDICAL CENTER
1-49,7959.0,19639.16804779748,592.0,Non-DSH,106361266.0,MOUNTAINS COMMUNITY HOSPITAL
1-49,3304.0,7426.132893113244,1084.0,Non-DSH,106141273.0,NORTHERN INYO HOSPITAL
100-149,47340.0,90770.88619256351,3135.0,DSH,106500967.0,OAK VALLEY DISTRICT HOSPITAL
50-99,26018.0,47719.272574007984,1481.0,Non-DSH,106560501.0,OJAI VALLEY COMMUNITY HOSPITAL
1-49,4258.0,9138.510858651765,1051.0,Non-DSH,106491338.0,PALM DRIVE HOSPITAL
50-99,6678.0,12288.44292812234,2176.0,Non-DSH,106331288.0,PALO VERDE HOSPITAL
1-49,1489.0,5314.0619245808475,573.0,Non-DSH,106320986.0,PLUMAS DISTRICT HOSPITAL
1-49,4884.0,12224.996581903672,1476.0,DSH,106171049.0,REDBUD COMMUNITY HOSPITAL
50-99,6899.0,13350.244585601662,1871.0,Non-DSH,106121051.0,REDWOOD MEMORIAL HOSPITAL
50-99,8170.0,15345.909451192283,2636.0,Non-DSH,106150782.0,RIDGECREST REGIONAL HOSPITAL
50-99,16035.0,21677.353923964794,3231.0,Non-DSH,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL
1-49,3010.0,5866.294266066224,433.0,DSH,106100791.0,SANGER GENERAL HOSPITAL
1-49,869.0,3597.0514629032073,316.0,Non-DSH,106420522.0,SANTA YNEZ VALLEY COTTAGE HOSPITAL
50-99,8584.0,18839.03004840696,2252.0,DSH,106100793.0,SELMA COMMUNITY HOSPITAL
1-49,6732.0,17720.778430328905,401.0,DSH,106321016.0,SENECA HOSPITAL
100-149,39792.0,53898.75678877392,96.0,Non-DSH,106410828.0,SETON MEDICAL CENTER - COASTSIDE
1-49,4970.0,15018.378953228155,2154.0,Non-DSH,106100797.0,SIERRA KINGS DISTRICT HOSPITAL
1-49,11925.0,17483.30892709837,44.0,DSH,106461024.0,SIERRA VALLEY DISTRICT HOSPITAL
50-99,12457.0,25137.196716877053,2258.0,Non-DSH,106491076.0,SONOMA VALLEY HOSPITAL
100-149,32443.0,76775.73069669757,3298.0,Non-DSH,106551034.0,SONORA COMMUNITY HOSPITAL
1-49,11927.0,20870.37642782641,124.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
50-99,13396.0,23754.637558992916,3482.0,Non-DSH,106521041.0,ST. ELIZABETH COMMUNITY HOSPITAL
1-49,8214.0,13242.01566631705,95.0,DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,16956.0,30091.883406289857,2934.0,Non-DSH,106034002.0,SUTTER AMADOR HOSPITAL
50-99,9459.0,20692.931486165446,2579.0,Non-DSH,106084001.0,SUTTER COAST HOSPITAL
50-99,10893.0,22183.178695111492,2639.0,Non-DSH,106171395.0,SUTTER LAKESIDE HOSPITAL
50-99,17614.0,35630.972412681935,2347.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
1-49,6442.0,30216.595091980456,137.0,Non-DSH,106150808.0,TEHACHAPI HOSPITAL
50-99,12266.0,21382.7591753623,788.0,DSH,106531059.0,TRINITY GENERAL HOSPITAL
50-99,21230.0,46597.482807591805,1715.0,DSH,106551061.0,TUOLUMNE GENERAL HOSPITAL
50-99,21027.0,29175.533563851706,4866.0,Non-DSH,106400548.0,TWIN CITIES COMMUNITY HOSPITAL
50-99,14704.0,28627.42981672378,4153.0,Non-DSH,106231396.0,UKIAH VALLEY MEDICAL CENTER-HOSPITAL DR
200-299,41604.0,111410.689298961,9623.0,DSH,106164029.0,ADVENTIST MEDICAL CENTER - HANFORD
1-49,4846.0,24897.3252958077,2028.0,DSH,106100797.0,ADVENTIST MEDICAL CENTER - REEDLEY
1-49,3649.0,12483.7140301712,1091.0,Non-DSH,106184008.0,BANNER LASSEN MEDICAL CENTER
1-49,6633.0,18209.7555181798,2230.0,Non-DSH,106364430.0,BARSTOW COMMUNITY HOSPITAL
100-149,23555.0,60477.2766246558,2136.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
1-49,6272.0,64867.39957195764,182.0,DSH,106361110.0,BEAR VALLEY COMMUNITY HOSPITAL
1-49,11016.0,30938.995748784,652.0,Non-DSH,106040802.0,BIGGS - GRIDLEY MEMORIAL HOSPITAL
1-49,1938.0,10334.9794770304,15.0,Non-DSH,106190045.0,CATALINA ISLAND MEDICAL CENTER
100-149,29147.0,67669.656934437,233.0,DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
1-49,1437.0,5967.516275948261,525.0,DSH,106361458.0,COLORADO RIVER MEDICAL CENTER
1-49,3577.0,9794.84019396573,742.0,Non-DSH,106060870.0,COLUSA REGIONAL MEDICAL CENTER
50-99,18543.0,68959.9124902525,256.0,DSH,106320859.0,EASTERN PLUMAS HEALTH CARE
1-49,4534.0,12633.4024310708,1476.0,Non-DSH,106474007.0,FAIRCHILD MEDICAL CENTER
1-49,5535.0,10126.7862641647,1398.0,DSH,106230949.0,FRANK R. HOWARD MEMORIAL HOSPITAL
50-99,21090.0,56084.5942554492,1167.0,DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
1-49,794.0,7325.50506923247,245.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
150-199,43800.0,115444.87195425834,2337.0,DSH,106350784.0,HAZEL HAWKINS MEMORIAL HOSPITAL
1-49,9370.0,24407.2171361746,944.0,Non-DSH,106490964.0,HEALDSBURG DISTRICT HOSPITAL
150-199,47680.0,93257.1124595205,3272.0,DSH,106362041.0,HI-DESERT MEDICAL CENTER
1-49,3775.0,23560.9808651059,71.0,Non-DSH,106121031.0,JEROLD PHELPS COMMUNITY HOSPITAL
1-49,9447.0,40844.6651691873,260.0,Non-DSH,106220733.0,JOHN C. FREMONT HEALTHCARE DISTRICT
100-149,24664.0,54196.87561229416,702.0,DSH,106150737.0,KERN VALLEY HOSPITAL DISTRICT
150-199,46177.0,110792.48969287,2853.0,DSH,106420491.0,LOMPOC VALLEY MEDICAL CENTER
1-49,1101.0,3369.68520657603,685.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
1-49,4065.0,12189.315725248882,1129.0,Non-DSH,106050932.0,MARK TWAIN MEDICAL CENTER
100-149,24385.0,56848.8654700572,5460.0,Non-DSH,106090933.0,MARSHALL MEDICAL CENTER
100-149,28682.0,60265.5649013753,515.0,DSH,106450936.0,MAYERS MEMORIAL HOSPITAL
1-49,3523.0,15207.6109575014,1576.0,DSH,106240924.0,MEMORIAL HOSPITAL LOS BANOS
1-49,4790.0,15397.9551508171,1276.0,Non-DSH,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL
1-49,2704.0,7501.48552410701,1042.0,Non-DSH,106470871.0,MERCY MEDICAL CENTER MT. SHASTA
50-99,15994.0,44609.3898631149,233.0,Non-DSH,106250956.0,MODOC MEDICAL CENTER
1-49,8626.0,32991.1302873905,359.0,DSH,106361266.0,MOUNTAINS COMMUNITY HOSPITAL
1-49,3804.0,11434.0167067983,1069.0,Non-DSH,106141273.0,NORTHERN INYO HOSPITAL
150-199,40246.0,133168.947866055,1162.0,DSH,106500967.0,OAK VALLEY DISTRICT HOSPITAL
50-99,24388.0,49119.5194240453,913.0,DSH,106560501.0,OJAI VALLEY COMMUNITY HOSPITAL
50-99,3312.0,8676.80196088186,964.0,DSH,106331288.0,PALO VERDE HOSPITAL
1-49,1224.0,8117.85335755091,455.0,Non-DSH,106320986.0,PLUMAS DISTRICT HOSPITAL
1-49,5299.0,12708.5572513351,1449.0,DSH,106121051.0,REDWOOD MEMORIAL HOSPITAL
150-199,38048.0,113209.74447002,2054.0,Non-DSH,106150782.0,RIDGECREST REGIONAL HOSPITAL
50-99,15601.0,32349.2045148891,3818.0,DSH,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL
1-49,787.0,4803.78613889359,246.0,Non-DSH,106420522.0,SANTA YNEZ VALLEY COTTAGE HOSPITAL
1-49,6066.0,26467.751910641,189.0,Non-DSH,106321016.0,SENECA HEALTHCARE DISTRICT
100-149,19046.0,36500.1188715823,4977.0,Non-DSH,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL
150-199,44981.0,113822.674209159,4853.0,Non-DSH,106554011.0,SONORA REGIONAL MEDICAL CENTER - GREENLEY
1-49,9069.0,24888.366921428278,50.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
50-99,8982.0,26128.5295803025,3510.0,Non-DSH,106521041.0,ST. ELIZABETH COMMUNITY HOSPITAL
1-49,5519.0,16044.1343590764,1440.0,DSH,106171049.0,ST. HELENA HOSPITAL - CLEARLAKE
200-299,61844.0,99811.0180188275,15437.0,Non-DSH,106361343.0,ST. MARY MEDICAL CENTER - APPLE VALLEY
1-49,7537.0,11703.4085566002,30.0,Non-DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,9637.0,18110.7866218611,2509.0,Non-DSH,106034002.0,SUTTER AMADOR HOSPITAL
1-49,6798.0,20619.0706631475,1879.0,DSH,106084001.0,SUTTER COAST HOSPITAL
1-49,6595.0,19219.1306281954,1686.0,DSH,106171395.0,SUTTER LAKESIDE HOSPITAL
50-99,16812.0,45572.4054968952,1749.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
1-49,5486.0,66852.7499806912,161.0,DSH,106150808.0,TEHACHAPI VALLEY HOSPITAL DISTRICT
50-99,8196.0,18804.981633724,363.0,DSH,106531059.0,TRINITY HOSPITAL
100-149,15968.0,29521.814982313434,4306.0,Non-DSH,106400548.0,TWIN CITIES COMMUNITY HOSPITAL
50-99,13133.0,41999.26265915844,3643.0,DSH,106231396.0,UKIAH VALLEY MEDICAL CENTER
100-149,25379.0,39819.5056953985,6318.0,DSH,106361370.0,VICTOR VALLEY GLOBAL MEDICAL CENTER
1-49,6070.0,29845.525245633173,1168.0,DSH,106171049.0,ADVENTIST HEALTH CLEARLAKE
200-299,44069.0,125668.523800309,9412.0,DSH,106164029.0,ADVENTIST HEALTH HANFORD
1-49,7021.0,14971.0706759767,1795.0,DSH,106234038.0,ADVENTIST HEALTH HOWARD MEMORIAL
1-49,4378.0,22138.2313628308,878.0,Non-DSH,106231013.0,ADVENTIST HEALTH MENDOCINO COAST
1-49,7165.0,56987.0427302408,1783.0,DSH,106100797.0,ADVENTIST HEALTH REEDLEY
150-199,33212.0,108614.634630504,4487.0,Non-DSH,106554011.0,ADVENTIST HEALTH SONORA - GREENLEY
1-49,3480.0,13330.2088830003,982.0,Non-DSH,106154168.0,ADVENTIST HEALTH TEHACHAPI VALLEY
50-99,14715.0,46476.2101985445,3284.0,DSH,106231396.0,ADVENTIST HEALTH UKIAH VALLEY
1-49,3159.0,12674.443966553576,826.0,Non-DSH,106184008.0,BANNER LASSEN MEDICAL CENTER
1-49,6971.0,19440.2431758235,1854.0,DSH,106364430.0,BARSTOW COMMUNITY HOSPITAL
100-149,20204.0,70946.6379687326,1711.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
1-49,5133.0,62737.432585113245,177.0,DSH,106361110.0,BEAR VALLEY COMMUNITY HOSPITAL
1-49,2013.0,24588.19549526454,14.0,Non-DSH,106190045.0,CATALINA ISLAND MEDICAL CENTER
1-49,14746.0,23714.67798825694,691.0,Non-DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
1-49,604.0,4621.543472892839,259.0,DSH,106361458.0,COLORADO RIVER MEDICAL CENTER
1-49,7867.0,19455.898274522275,920.0,DSH,106060870.0,COLUSA MEDICAL CENTER
50-99,19259.0,62364.35139851848,167.0,DSH,106320859.0,EASTERN PLUMAS HEALTH CARE
1-49,4924.0,16538.0069708154,1190.0,Non-DSH,106474007.0,FAIRCHILD MEDICAL CENTER
50-99,14109.0,59208.7208346265,415.0,DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
1-49,7344.0,24854.9005856503,284.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
100-149,37588.0,102890.436002792,2507.0,DSH,106350784.0,HAZEL HAWKINS MEMORIAL HOSPITAL
1-49,8314.0,28500.4108149051,608.0,Non-DSH,106490964.0,HEALDSBURG HOSPITAL
150-199,40300.0,91375.9324549047,2019.0,DSH,106362041.0,HI-DESERT MEDICAL CENTER
1-49,3310.0,18752.83265669136,75.0,Non-DSH,106121031.0,JEROLD PHELPS COMMUNITY HOSPITAL
1-49,7555.0,35752.3953092235,203.0,Non-DSH,106220733.0,JOHN C. FREMONT HEALTHCARE DISTRICT
100-149,19028.0,49646.8008004317,361.0,DSH,106150737.0,KERN VALLEY HOSPITAL DISTRICT
150-199,38513.0,101891.905838771,2565.0,DSH,106420491.0,LOMPOC VALLEY MEDICAL CENTER
1-49,1409.0,6485.92098371052,560.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
1-49,3266.0,10019.3093128996,822.0,Non-DSH,106050932.0,MARK TWAIN MEDICAL CENTER
100-149,18550.0,45202.4935353129,4418.0,Non-DSH,106090933.0,MARSHALL MEDICAL CENTER
100-149,29197.0,62705.3504974173,370.0,DSH,106450936.0,MAYERS MEMORIAL HOSPITAL
1-49,4772.0,17343.7774914073,1819.0,DSH,106240924.0,MEMORIAL HOSPITAL LOS BANOS
1-49,2969.0,11281.467422781803,850.0,DSH,106470871.0,MERCY MEDICAL CENTER - MT. SHASTA
50-99,16711.0,50532.2082297215,309.0,Non-DSH,106254005.0,MODOC MEDICAL CENTER
1-49,8251.0,34027.6959662981,314.0,DSH,106361266.0,MOUNTAINS COMMUNITY HOSPITAL
1-49,2265.0,10427.7191726343,775.0,DSH,106141273.0,NORTHERN INYO HOSPITAL
100-149,28544.0,104479.357170312,717.0,Non-DSH,106500967.0,OAK VALLEY HOSPITAL DISTRICT
100-149,27226.0,54143.5384520221,577.0,DSH,106560501.0,OJAI VALLEY COMMUNITY HOSPITAL
1-49,4555.0,27311.2601805549,467.0,Non-DSH,106040802.0,ORCHARD HOSPITAL
1-49,1179.0,6274.672468418979,364.0,DSH,106331288.0,PALO VERDE HOSPITAL
1-49,1350.0,6760.21561666302,346.0,Non-DSH,106320986.0,PLUMAS DISTRICT HOSPITAL
200-299,70015.0,118256.19815412092,13529.0,Non-DSH,106361343.0,PROVDENCE ST. MARY MEDICAL CENTER
1-49,4596.0,16626.129513126838,706.0,Non-DSH,106121051.0,PROVIDENCE REDWOOD MEMORIAL HOSPITAL
150-199,24402.0,85410.3979072531,1704.0,Non-DSH,106150782.0,RIDGECREST REGIONAL HOSPITAL
50-99,9689.0,21543.3249644012,2426.0,DSH,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL
1-49,308.0,5585.01804503794,122.0,Non-DSH,106420522.0,SANTA YNEZ VALLEY COTTAGE HOSPITAL
